Jean,No. No. You don't know what it's like to be afraid to shut your eyes. - To be trapped inside your own head. -
Charles,"Oh, but I think I do. It wasn't so long ago, that I was plagued by voices of myself. All their suffering. All their pain. Their secrets."
Jean,I'm afraid one day I am going to hurt someone.
Charles,"Lie back. Everyone fears that which they do not understand. You will learn to control your powers. And when you do, you'll have nothing to fear."
Charles,Her nightmares were different this time.
Hank,"Well, it could have count for something I saw while I was in my lab earlier. There was some kind of tremor. Like an energy surge. - I picked it up on one of my meters. -"
Charles,You're saying that Jean created it.
Hank,"No, I'm saying something else did. Maybe she was reacting to it, I don't know. But, the Epicenter was half way around the world."
Charles,Half way around the world?
Hank,Yeah. That's why I was hoping you could take a look.
Charles,Let's see what we can find.
Computer,Welcome Professor.
Hank,The source came from Cairo. I'll put in the coordinates.
Moira,I got to get out of here and give them a report.
Hank,What? What is it?
Moira,"Something happened here, I can tell it's real."
Charles,It's her.
Hank,Who?
Charles,Moira.
Hank,What? - Moira MacTaggert?
Charles,Mm-hm.
Hank,And give me the details?
Charles,"Well, she looks amazing. - She's barely aged a day."
Hank,No. I meant... What is she doing there? What's the CIA doing with this?
Charles,"She's going back to Langley to deliver a report. I'm going to go there, see if she knows something about the tremor."
Hank,You'll wind up seeing Moira.
Charles,"I want to go check her out, check out... the situation. Moira MacTaggert. It's like a ghost from the past."
Magda,"You did a good thing, you saved that man."
Erik,"That's not the point. If I'm exposed, we're all exposed. We have to go."
Magda,This is our home. This is our daughter's home.
Erik,"We are her home. I told you who I was, the first night I met you. I trusted you then. I need you to trust me now. We can't stay here anymore."
Magda,I'll get Nina.  Sweetheart? She's not in her room. And I don't see her at the back.
Both,Nina! - Nina! - Nina! - Nina! Nina!
Erik,Nina. Are you okay?
Police Officer,She is fine.
Erik,"Then, let her go."
Police Officer,We will. We just wanted to talk.
Erik,You are not wearing your badges. No metal.
Police Officer,"Some men from the factory said they saw something today. Something that made no sense. Keep your weapons. You have been a good citizen, Henryk. A good neighbor, good worker. - I believe you are."
Magda,He is.
Police Officer,But nobody in town really knows who you are.
Erik,"Everyone knows. I'm Henryk Gurzsky. Jacob, I even had dinner at his house."
Jacob,And you lied all the time. I let a murderer in my house Is that you? Are you the one called Magneto?
Erik,I surrender. Please. Let my daughter go. Go with your mother.
Nina,Please! Don't leave me. - I'm not going to let them take you.
Magda,Nina. Nina. Nina. Nina.
Nina,Please!
Police Officer,What's happening? She is one of them.
Nina,Please.
Police Officer,Make her stop.
Erik,She can't control them.
Magda,Nina.
Nina,Please.
Erik,She's frightened.
Nina,I'm not letting them take you! I'm not letting them take you!
Police Officer,Make it stop!
Magda,Nina.
Erik,"No. No, Nina! . Nina? Nina. No. Don't... Please. Please. Please. What have you done? Not my babies. Not my babies. IS THIS WHAT YOU WANT FROM ME? Is this what I am? Is this what I am"
Merchant,You know what we do with thieves? Choose a hand.
Apocalypse,Enough.
Merchant,"If you are with her, I suggest you go away. Go away."
Apocalypse,Who rules this world?
Merchant,What language is that? Clown! What do you want? Go away! Sorry. Sorry.
Apocalypse,"You feel it, don't you? Now, you feel it. CENTRAL INTELLIGENCE AGENCY UNITED STATES OF AMERICA"
Alex,"So, you really haven't seen her in all these years? You never looked her up? Not even in Cerebro?"
Charles,"Alex. Who do you take me for? Some kind of pervert? I... Yes, I looked her up once. Twice. But, not in a long time."
Alex,Alright? How'd you leave things? - Any hard feelings?
Charles,"Not likely. Everybody take a break. I wiped her mind off all memories of us. The beach, Cuba, that whole time. It's so long ago, Alex. Before the world knew about mutants, I have felt... it was the best thing for her."
Alex,And for you?
Charles,It didn't really matter what's best for me. Moira MacTaggert.  Hello.  Allow me to introduce myself. I'm Professor...
Moira,Charles Xavier - I know exactly who you are.
Charles,You do?
Moira,Of course I do. I've read all of your papers. It's a pleasure to finally meet you.  - Moira MacTaggert.
Alex,Alex Summers.
Moira,"Have a seat. Just, throw that on the floor."
Charles,It's wonderful to see you again. To-To meet you again for the first time. I... You got a son? - Yes. - Does he have a husband or... Do you have a husband?
Moira,"I had a husband, but... It's hard to do this job and make it home in time for dinner."
Charles,"Good. Good. We all make choices, right?"
Moira,"Yes, we do. - Professor. - Yes?"
Charles,Yes. I was... we were hoping that you would tell us about what happened yesterday in Egypt.
Moira,"I'm afraid that's classified information. And, I don't mean to be rude, but... How did you get in here?"
Charles,I have level 5 clearance.
Moira,"Ever since the world found out about mutants in '73, there have been cults who see them as some kind of second coming or sign of god. I was tracking one of them. They called themselves, Ashir En Sabah Nur, named after an ancient being they believed to be the world's first."
Alex,The world first's what?
Moira,The world's first mutant.
Alex,I thought mutants didn't evolve until this century.
Moira,"That's the common theory, yes. But, these guys believe that the first mutant was born tens of thousands of years ago. And they believe he will rise again. They've been searching ancient sites all round the world for clues. These hieroglyphs described a specific set of powers greater than any man can possess."
Alex,They think he lived all that time?
Moira,"Yes and no. They believe he had the ability to transfer his consciousness from body to body, and whenever he was close to death he would just take on a new body. So, these may have been the bodies of mutants enabling him to take their powers amassing varies abilities over the years."
Charles,An all powerful mutant.
Moira,"Exactly. And wherever this being was, he always had 4 principle followers. Disciples. Protectors he would imbue their powers."
Alex,Like the Four Horsemen of the Apocalypse. - He got that one from the Bible.
Moira,"Or the Bible got it from him. And wherever he ruled, eventually, it would end in disaster. Cataclysm. Some kind of... Apocalypse."
Charles,The end of the world.
Star Trek Character,"I must say, Apollo. The way you ape human behavior is remarkable."
Storm,"Get out. Come one. Come on. Come on. I've never seen another mutant in this city. Do you speak Egyptian? Arab? English? Great fighter. She's my hero. I want to be like her. There's some food here, not much."
TV," I don't believe it. You love me. Love you? Be logical. I'm not some simple shepherdess you can awe. Why, I could no more love you than I could love a new species of... Bacteria."
Storm,What are you doing?
Apocalypse,Learning.
Reporter,"In the streets there is outrage against the Soviet invasion of Afghanistan... The brotherhood of our kind. One of them was held in Boston. Since the act in the nuclear weapons, the United States does not start fights..."
Apocalypse,Weapons?
Reporter,Never before has man possess so much power. With Soviet Union and the United States being superpowers...
Apocalypse,"Superpowers? The weak have taken the Earth. For this, I was betrayed. False gods. Idols. No more. I have returned. The new tomorrow, that starts today."
Storm,Where did you come from?
Apocalypse,The time before man lost his way.
Storm,Well. Welcome to the 80s.
Apocalypse,This world needs to be... Purged.
Storm,What?
Apocalypse,Saved.
Storm,"You can't save the world, just going around killing people. There's laws, system and place for that kind of thing."
Storm,"My child, why do you enslave yourself?"
Storm,What are you doing?
Storm,Making you stronger. My goddess.
Storm,Yes. You were right. The time has passed. There is no room for gods.
Kurt,Why can't I go with you.
Raven,"I told you, I work alone. Wait there."
Caliban,"Always good to see your face, even if it's not yours. Papers and passage for me. Where is the gentleman going, may I ask?"
Raven,"Don't matter, don't care. I just saved his life, what he does with it is up to him."
Caliban,"Mystique, the mercenary."
Raven,Don't call me that.
Caliban,"No matter how much you pretend to be someone else, Caliban knows who you are. If there's anything worth knowing about mutants, Caliban knows it."
Psylocke,Mystique.
Raven,Why don't you ask your psychics what will happen if you keep pushing me.
Caliban,"What will happen? Psylocke gets a little jealous. - 'Cause Caliban likes you. - Caliban likes money. Caliban likes you so much, he wants to give you free information. About an old friend. From back when you have friends. Do you remember, Erik Lehnsherr? My girls had a flash of him in Poland. He left quite a few dead bodies in his wake, including his wife and daughter. Should be on the news soon enough. But... Caliban gives you a little head start."
Raven,How fast are you?
Kurt,How fast?
Raven,How far can you cover?
Kurt,"Uh, as far as I can see, - or if I've been there before."
Raven,Come with me Crawler.
Kurt,"Actually it's Nightcrawler, and my real name is... ... Kurt Wagner."
Hank,"The lenses are made up of some ruby quartz I have lying around. They should be able to refract your optic beams and keep them contain within their own vector fields. Try them on. Okay, go ahead. Wait. Wait. Sorry, no. Okay."
Scott,Now?
Hank,"Yeah, you're good."
Scott,"Alright. Whoa. I can see. Thank you. Professor, thank you. You're a genius."
Hank,"No, I'm... not a professor. I wish."
Scott,Who's that?
Hank,"I believe you two have met, that's Jean Grey. You bumped into her when you arrived."
Scott,"Wait, that's her?"
Hank,Yeah.
Scott,Hey.
Jean,You can see.
Scott,Yeah. It's not as bad as I thought here.
Student 1,Freak.
Student 2,Someone should warn that new kid.
Scott,"They're still scared of me. Hey, I have special glasses now!"
